fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,June,02,ANDHRA PRADESH,0208,PRAKASAM,18025971,195.359688551082,40,6180,5360.60755,11818,20,52236,18026070,4996425,295215,469507,30450,684.52902,41260.81078,444690,748799,530917,998793,14907,835618,1610481,64054,35215.67421,10069284,34,66.11,68.2,100.3,NA
2021-2022,June,02,ANDHRA PRADESH,0210,CHITTOOR,10105177,216.239534943327,39,4386,8192.733091,10498,105,77368,10105177,2938093,203151,459556,29933,695.54766,30739.668501,253543,392795,394571,732308,10935,757988,1616864,87866,21851.38775,5942959,52,60.01,66.27,99.93,NA
2021-2022,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,2866491,125.364922251902,12,6332,411.76256,564,111,60797,2866501,886049,247393,432067,124253,350.51978,4355.86909,221651,293883,485806,823517,3,926997,1750926,61361,3593.58675,1577407,34,38.3,39.74,100.07,NA
2021-2022,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,2684243,120.195817552797,14,2883,255.00008,279,93,51901,2685270,1020655,250720,222514,48386,192.06422,3674.64653,190049,280438,397686,718114,1,814754,1595730,52180,3227.58223,1499993,24,35.73,36.16,100.11,NA
2021-2022,April,02,ANDHRA PRADESH,0206,KRISHNA,2862301,133.43702776193,16,3022,14.41146,486,60,57764,2862301,1221559,259593,101151,25526,207.8482,4041.62904,176852,282208,355063,674884,5,694061,1464347,58250,3819.36938,1591200,19,58.15,58.81,100.24,NA
2021-2022,April,02,ANDHRA PRADESH,0210,CHITTOOR,2088268,129.409450798461,15,2234,2784.342031,271,165,75317,2088268,587055,201816,106309,29662,219.94533,5706.703511,135420,191917,391141,726777,5,746480,1607408,75588,2702.41615,1260988,51,38.93,43,98.35,NA
2021-2022,March,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,21014709,216.68791058536,56,5189,15584.379509,47373,43,57144,20855444,1109211,43522,8599648,290352,1322.51947,62098.1248258997,367267,604642,401173,723651,43612,573838,1091436,104517,45191.2258468997,12311304,68,67.73,72.9,100.79,NA
2021-2022,March,02,ANDHRA PRADESH,0206,KRISHNA,14908935,218.080204328379,48,5461,21522.03965355,30285,19,59172,15692064,6425401,263822,598863,26095,1209.29327,56952.6181580901,323692,558357,362850,687085,38725,747245,1521410,89457,34221.2852345401,8673473,29,58.58,61.04,101.8,NA
2021-2022,March,02,ANDHRA PRADESH,0208,PRAKASAM,21785854,202.038959822567,47,6463,27999.4965175,23664,19,51089,22243407,6146868,296075,571494,30580,1677.49659,74617.3412394,465158,793712,532663,1001677,31726,845664,1617377,74753,44940.3481319,12501592,38,54.68,58.21,100.95,NA
2021-2022,Aug,02,ANDHRA PRADESH,0206,KRISHNA,13585648,226.345561649075,44,5130,12385.07531,18859,19,57039,13585654,5601619,262585,503329,25917,581.01568,43716.61584,302560,513993,360573,683595,23458,741332,1517229,75898,30750.52485,7495148,21,63.79,65.78,100.39,NA
2021-2022,Aug,02,ANDHRA PRADESH,0211,Y.S.R,12634995,230.383111378152,52,3834,11163.216486,17015,27,56627,12635584,2829591,130095,296442,13658,729.50276,41002.970806,241621,383745,297067,545918,25399,615631,1217746,73642,29110.25156,7638750,57,69.8,73.28,100.4,NA
2021-2022,Aug,02,ANDHRA PRADESH,0213,KURNOOL,12426766,210.150797697056,38,4326,8535.90112,17651,86,57039,12302164,3010440,220345,235694,18625,714.42371,35103.42061,318691,551304,450248,893875,12613,881756,1869985,74690,25853.09578,6912011,46,63.2,65.29,99.79,NA
2021-2022,Oct,02,ANDHRA PRADESH,0205,WEST GODAVARI,15534763,218.977781055807,46,4770,19237.45895585,20598,15,54156,15562194,5790481,253515,1347434,48699,546.08948,53861.29554065,333727,532641,403020,726738,27354,839381,1619210,74754,34077.7471048,8548360,32,60.61,61.64,100.21,NA
2021-2022,Oct,02,ANDHRA PRADESH,0207,GUNTUR,12898690,218.503339703938,38,4033,29593.1340665,24378,44,53133,12902491,4524112,244949,730752,44584,636.36416,58421.8719665,334766,573468,393452,736121,16101,877644,1702741,77511,28192.37374,6931833,13,59.26,62.23,100.46,NA
2021-2022,Oct,02,ANDHRA PRADESH,0210,CHITTOOR,15254877,230.205732897506,51,5116,23064.713866,19303,95,103913,15289232,4358569,205427,675106,30416,843.28228,59104.684726,298670,474022,399572,740146,37389,777357,1644351,123216,35196.68858,9056475,62,55.05,60.57,99.97,NA
