pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
166,09,136336.43969193744,28632.368680499276,0.0661096149620794,0.08740619352498442,0.0312891429229594,0.0312891429229594,1.0,1.0
167,09,119455.19453281566,23417.525005261214,0.12295151787841184,0.15488564521898435,0.0525436485762182,0.0525436485762182,1.0,1.0
168,09,132019.02428265865,24166.61738900155,0.10079835975219463,0.12248968174917568,0.1080734626968091,0.1080734626968091,1.0,1.0
169,09,111774.30713798542,20674.815870423616,0.17288184564187542,0.21366637051126397,0.0,0.0,1.0,1.0
170,09,115168.8322327281,21746.60092197869,0.1463903934008835,0.18561519206929808,0.0,0.0,1.0,1.0
171,09,106642.45833357195,20990.995227675478,0.17228177778471304,0.21099722438503019,0.0936760370385748,0.0936760370385748,1.0,1.0
172,09,119672.51779532086,22938.60455491329,0.13356874958633336,0.1719045879630431,0.0,0.0,1.0,1.0
173,09,119646.28267199812,21241.62312712679,0.17577629097089145,0.21863447582606382,0.0810365095125597,0.0810365095125597,1.0,1.0
174,09,119653.61174655492,28229.87707557726,0.0953785531937841,0.1221405543624963,0.1089139937005849,0.1089139937005849,1.0,1.0
175,09,150837.0504058432,30470.509123603373,0.06305664127462787,0.08002027721847824,0.0742087063854114,0.0742087063854114,1.0,1.0
176,09,115760.41686923298,22413.56570763242,0.1778027631089141,0.2198362463103448,0.1352678180064872,0.1352678180064872,1.0,1.0
177,09,121691.63472580352,23446.660459930397,0.15934930562153393,0.19295966347557109,0.0679347426767729,0.0679347426767729,1.0,1.0
178,09,109502.17122715875,20455.231946295196,0.18168108348877643,0.229113475278455,0.0456702169344209,0.0456702169344209,1.0,1.0
179,09,137975.6393709953,27477.104473196287,0.08213307512652172,0.1055557418850725,0.1974829428359912,0.1974829428359912,1.0,1.0
180,09,115712.30895773621,23942.198075043605,0.14180927686468298,0.1708465474389993,0.057895959780879,0.057895959780879,1.0,1.0
181,09,102816.81002803273,19295.86337448697,0.2329757129345777,0.2990811452604598,0.0,0.0,1.0,1.0
182,09,112079.07518846024,19105.065899170324,0.23724825734393062,0.2894244051867311,0.0603999014369767,0.0603999014369767,1.0,1.0
183,09,128883.38384501798,25813.853719619387,0.12168299942222628,0.14892182555575598,0.1608370476694115,0.1608370476694115,1.0,1.0
184,09,99187.67990043291,18030.36143570608,0.29606839568423865,0.35605153620522983,0.0949150854746064,0.0949150854746064,1.0,1.0
185,09,128520.14851596612,23560.62844935591,0.1504033196799804,0.18114663369877182,0.0,0.0,1.0,1.0
186,09,105789.48165397561,19578.30399256926,0.2457632383763953,0.2981489903605452,0.1736623849499342,0.1736623849499342,1.0,1.0
187,09,116216.68648782495,20118.184508180606,0.18448043178034576,0.234024362955714,0.0466562755139909,0.0466562755139909,1.0,1.0
188,09,140724.90946095824,26710.26995910336,0.09472814107672901,0.1210939408459577,0.0477234972115546,0.0477234972115546,1.0,1.0
189,09,116188.67284136201,22424.578206362614,0.1601403179498629,0.20255541230970603,0.0369764495232203,0.0369764495232203,1.0,1.0
190,09,119855.20961967098,21867.87303296343,0.17340150253661196,0.2167036738677941,0.0,0.0,1.0,1.0
191,09,148987.95061047006,24488.049841168548,0.09432481782180827,0.12235779367405142,0.2242851441658765,0.2242851441658765,1.0,1.0
192,09,114083.98315146634,18597.614107762205,0.24192342549121892,0.29603526347204895,0.148206759507059,0.148206759507059,1.0,1.0
193,09,116759.30749257052,20997.28690751988,0.1810815850477996,0.22523646795793734,0.0446747712168992,0.0446747712168992,1.0,1.0
194,09,128344.93678896817,21223.559552459694,0.14914434333504267,0.1923926788008965,0.0779560274684055,0.0779560274684055,1.0,1.0
195,09,125778.18609787323,21001.548615969325,0.19038346286044058,0.23330759273760238,0.0,0.0,1.0,1.0
196,09,137477.8847509131,24690.511639634686,0.07768146242291121,0.10665670316171183,0.2216876311569018,0.2216876311569018,1.0,1.0
