State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
Assam,Chirang,612,320,18,48.05395656168089,44.34671334530718,11.433750278722837,482162,97395,0.2353779664035743,0.2113769689284275,0.2859856097250646,ASSAM,CHIRANG,CHIRANG,99.92833333333334,22.583333333333332,48.23306286383865,23.065882788701018
Assam,Darrang,283,325,18,48.18181617600011,5.2427571351642435,19.22420648068385,928500,187783,0.310100792401862,0.2701040750180515,0.3543057530485606,ASSAM,DARRANG,DARRANG,99.95833333333331,25.805555555555557,44.89983419735477,26.28621334803364
Assam,Dhemaji,284,308,18,55.32273861994004,53.89407010011179,2.37927335571403,686133,129869,0.255367061328317,0.2274280089661292,0.0994085889782481,ASSAM,DHEMAJI,DHEMAJI,99.86277777777778,26.694444444444443,50.90942910067601,27.22816585788689
Assam,Dhubri,285,301,18,43.17696891981375,3.936215729267239,21.27216345411269,1949258,414674,0.392940429076345,0.3314169294010777,0.4252345159271966,ASSAM,DHUBRI,DHUBRI,100.0,27.444444444444443,42.01164784276217,28.004371026802875
Assam,Dibrugarh,286,310,18,60.49690645190575,12.195033683043876,5.564904736246703,1326335,276867,0.2480220086015679,0.2215599048891496,0.7981998821754623,ASSAM,DIBRUGARH,DIBRUGARH,99.90388888888889,15.77777777777778,49.18469032723987,16.25408222107724
Assam,Dima Hasao,299,315,18,60.32333010648596,72.94653949986454,2.683866055610056,214102,42252,0.3089773325877111,0.2692461701909009,0.0578958155055802,ASSAM,DIMA HASAO,DIMA HASAO,97.22222222222224,23.11111111111111,35.379521585968305,23.473675701949308
Assam,Goalpara,287,302,18,52.39032433404528,27.44184339549467,14.08122353365168,1008183,198454,0.3819181732228438,0.3234725146365846,0.533980367685888,ASSAM,GOALPARA,GOALPARA,97.14944444444444,19.97222222222222,44.31264818540697,20.444345266507828
Assam,Golaghat,288,313,18,62.11041248589437,16.315020883166742,7.574046677334621,1066888,227197,0.202175600825929,0.184132915980211,0.6860755777464425,ASSAM,GOLAGHAT,GOLAGHAT,100.0,16.055555555555557,44.5002235250787,16.527234576435873
Assam,Hailakandi,289,318,18,56.16883318917506,10.822149686938795,10.725636074167792,659296,143350,0.3921192931474686,0.3308272573404627,0.2392267370922795,ASSAM,HAILAKANDI,HAILAKANDI,99.88194444444444,20.13888888888889,28.0816808696842,20.68578303870172
Assam,Jorhat,290,312,18,67.71749422449487,20.932455395072218,5.958037414915765,1092256,236262,0.1968474008806816,0.1796909338046018,0.2879304944275716,ASSAM,JORHAT,JORHAT,100.0,14.72222222222222,46.5022108768883,15.207130063311867
Assam,Kamrup,291,321,18,60.223439650051894,19.100954042787613,9.99919286684202,1517542,311114,0.2260594548336255,0.2038053313085074,0.4399492971268706,ASSAM,KAMRUP,KAMRUP,99.99944444444444,23.88888888888889,40.05259700046397,24.415337419756767
Assam,Kamrup Metro,618,322,18,76.51714430373066,14.108353044568393,1.999012474767278,1253938,293112,0.1439608496173577,0.1344966700095581,1.369525866835772,ASSAM,KAMRUP METRO,KAMRUP (METRO),99.99833333333332,19.194444444444443,50.56932132607105,19.610113868462964
Assam,Karbi Anglong,292,314,18,52.12122382257919,61.03639707919897,7.906496418178607,956313,177646,0.3033076812590249,0.2649054032370272,0.1469278286641297,ASSAM,KARBI ANGLONG,KARBI ANGLONG,99.9875,20.47222222222222,50.831667985290515,21.019605862656995
Assam,Kokrajhar,294,300,18,49.30141834988727,34.74471956011552,11.662123187546916,887142,181081,0.2502617277834092,0.2233529116235381,0.3161494227791821,ASSAM,KOKRAJHAR,KOKRAJHAR,100.0,25.88888888888889,45.428848910776296,26.35147907059652
Assam,Lakhimpur,295,307,18,60.089021061032696,31.787183450928236,5.697396775683959,1042137,204307,0.2719970894066279,0.2405881767129759,0.1740810009996547,ASSAM,LAKHIMPUR,LAKHIMPUR,99.99555555555555,28.22222222222222,49.83373271806973,28.763680241286124
Assam,Marigaon,296,304,18,53.14759586381518,26.59409686209753,15.3348303240244,957423,184602,0.2960142782558931,0.2592936150421513,0.3568032163953943,ASSAM,MARIGAON,MORIGAON,97.215,20.083333333333332,41.63450824312211,20.509052151184616
Assam,Nagaon,297,305,18,56.97198437734715,13.51042295259384,14.646261937188518,2823768,559340,0.2963882612187157,0.2595821373373754,0.4409640494502885,ASSAM,NAGAON,NAGAON,99.97555555555556,24.444444444444443,40.900161170126985,24.973031914279943
Assam,Nalbari,298,323,18,63.51598501729081,10.831489854711856,9.962240754575069,771639,155248,0.2275962117071837,0.2050579578244888,0.2725948776585703,ASSAM,NALBARI,NALBARI,100.0,28.333333333333332,40.22468547454165,28.86022805974215
Assam,Sivasagar,300,311,18,65.63112947952598,7.939359715042787,4.391910957830381,1151050,248367,0.1816001340556196,0.1668695656876498,0.6289294597987931,ASSAM,SIVASAGAR,SIVASAGAR,99.99472222222222,13.083333333333334,44.55054215591089,13.600146786285896
Assam,Sonitpur,301,306,18,51.90851792054082,17.73999407518281,9.135718443558858,1924110,392919,0.2471815522794822,0.2208862473430909,0.336132794387798,ASSAM,SONITPUR,SONITPUR,100.0,22.97222222222222,45.39765076784724,23.45468060228329
Assam,Sribhumi,293,317,18,59.61212430866824,13.008205513857892,12.480912908327426,1228686,247714,0.4378199110909294,0.3631280157753564,0.4141815447802522,ASSAM,SRIBHUMI,KARIMGANJ,100.0,20.22222222222222,36.336904067957384,20.63793266255727
Assam,Tinsukia,302,309,18,53.24595722080352,9.018102624462603,4.749773274693555,1327929,268598,0.2625924762483808,0.2331671279984054,0.871586559825372,ASSAM,TINSUKIA,TINSUKIA,100.0,15.88888888888889,45.101556740166984,16.366112459603674
Assam,Udalguri,617,326,18,50.14010452358365,36.69925980078589,14.266642441286368,831668,168717,0.2542298027238708,0.2265216811821057,0.3012990956485217,ASSAM,UDALGURI,UDALGURI,99.96472222222222,23.666666666666668,45.799947155932074,24.17437028230888
Bihar,Araria,188,209,10,34.721295084836775,14.991700363747077,59.53762869573958,2811569,568142,0.3497916875073806,0.2999502749939234,0.7629267647905228,BIHAR,ARARIA,ARARIA,100.0,29.63888888888889,52.54964163682108,30.18443246178071
Bihar,Arwal,611,240,10,44.7825081666894,20.247616085200253,54.65503450585019,700843,118222,0.3674928613178138,0.3129790350574587,1.0208527338929825,BIHAR,ARWAL,ARWAL,100.0,33.611111111111114,46.896049475591425,34.19912178018958
Bihar,Aurangabad,189,235,10,48.90080064582209,24.136983464648456,42.13031402122901,2540073,391898,0.3482818311927629,0.2988310642224148,0.923176034312116,BIHAR,AURANGABAD,AURANAGABAD,100.0,36.111111111111114,44.57055598573622,36.59717239372925
