State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log
Assam,Tinsukia,302,309,18,53.24595722080352,9.018102624462603,4.749773274693555,1327929,268598,0.2625924762483808,0.2331671279984054,0.871586559825372
Assam,Udalguri,617,326,18,50.14010452358365,36.69925980078589,14.266642441286368,831668,168717,0.2542298027238708,0.2265216811821057,0.3012990956485217
Bihar,Araria,188,209,10,34.721295084836775,14.991700363747077,59.53762869573958,2811569,568142,0.3497916875073806,0.2999502749939234,0.7629267647905228
Bihar,Arwal,611,240,10,44.7825081666894,20.247616085200253,54.65503450585019,700843,118222,0.3674928613178138,0.3129790350574587,1.0208527338929825
Bihar,Aurangabad,189,235,10,48.90080064582209,24.136983464648456,42.13031402122901,2540073,391898,0.3482818311927629,0.2988310642224148,0.923176034312116
Bihar,Banka,190,225,10,38.68862149824881,16.62552346391201,49.06374549916198,2034763,381601,0.3312425751878111,0.2861127731363349,0.6491068060081424
Bihar,Begusarai,191,222,10,44.91941939480255,14.605656006767791,38.12669923337012,2970541,589667,0.3200561234793783,0.2776742534818318,1.2215677402947789
Bihar,Bhagalpur,192,224,10,44.68009701125727,12.69844352724996,34.924521978772916,3037766,564711,0.2952875070426348,0.2587326836705622,1.0563899843269136
Bihar,Bhojpur,193,231,10,48.201231561439016,16.10386573557391,35.99819534422247,2728407,416090,0.3266756384861872,0.2826762932834004,1.0070927263459195
Bihar,Buxar,194,232,10,48.420711776386135,16.324943505208772,34.787108084992404,1706352,261660,0.2856194097744247,0.2512406331604435,0.9365554837358488
Bihar,Darbhanga,195,215,10,36.80913756847104,15.70737939012822,41.2285823282245,3937385,803012,0.3134865293744647,0.2726850745708576,0.9771699909466186
Bihar,Gaya,196,236,10,43.711750277195776,30.455971169221424,40.90552967706893,4391418,688425,0.2919731355918452,0.2561706122586664,0.9818905221220126
Bihar,Gopalganj,197,217,10,45.512791788285355,14.866089620189133,29.901600337087007,2562012,413044,0.3149936381059283,0.2738318276757651,0.9830894502706
Bihar,Jamui,198,238,10,38.3971641789277,21.667854840221427,40.33393809840306,1760405,307082,0.3409951921847149,0.2934120190468169,0.6400430572317187
