state_name,district_code,district_name,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
CHHATTISGARH,3327,BALRAMPUR,99.99777777777778,41.361111111111114,44.01822770095055,41.80083869633343
CHHATTISGARH,3328,GAURELA PENDRA MARWAHI,99.98791666666666,44.791666666666664,48.51750265332373,45.3434392393874
DN HAVELI AND DD,701,DADRA AND NAGAR HAVELI,0.0,0.0,0.0,0.0
GOA,1001,NORTH GOA,100.0,15.833333333333334,76.05274523557752,16.224360922100892
GOA,1002,SOUTH GOA,88.88888888888889,13.972222222222221,67.80340213342996,14.381508782410215
GUJARAT,1101,JAMNAGAR,100.0,44.22222222222222,42.66757412006006,44.8245851058068
GUJARAT,1102,RAJKOT,99.73305555555555,37.30555555555556,47.611564972823025,37.898836807656956
GUJARAT,1103,SURENDRANAGAR,99.99361111111111,40.916666666666664,38.82928679787195,41.45976299428755
GUJARAT,1104,BHAVNAGAR,99.99972222222222,42.69444444444444,48.593947109162265,43.135543657400966
GUJARAT,1105,AMRELI,99.99805555555555,40.111111111111114,48.537242006663746,40.53221323177174
GUJARAT,1106,JUNAGADH,99.98944444444444,38.888888888888886,46.02500988033194,39.47191035900029
GUJARAT,1107,KACHCHH,99.9986111111111,47.638888888888886,49.41108791727345,48.072287217882604
GUJARAT,1108,BANAS KANTHA,100.0,37.583333333333336,46.12404039075298,38.08344617526409
GUJARAT,1109,SABAR KANTHA,99.99944444444445,33.72222222222222,51.13504337194519,34.21743840243336
GUJARAT,1110,MAHESANA,99.99111111111111,38.75,34.46807691765865,39.32023294976838
GUJARAT,1111,GANDHINAGAR,100.0,31.305555555555557,38.691381920639685,31.85694653502102
GUJARAT,1112,AHMADABAD,99.97222222222223,44.083333333333336,43.83351766042099,44.58597319254241
GUJARAT,1113,KHEDA,100.0,25.833333333333332,34.10419322751691,26.28391342587046
GUJARAT,1114,PANCH MAHALS,100.0,40.916666666666664,40.847990682164735,41.42867861878997
GUJARAT,1115,VADODARA,99.99972222222222,36.333333333333336,37.63904420512627,36.87094494886719
GUJARAT,1116,BHARUCH,100.0,32.80555555555556,48.886561703869596,33.30702906127212
GUJARAT,1117,SURAT,100.0,25.11111111111111,44.749197862253894,25.603889336684304
GUJARAT,1118,VALSAD,100.0,25.86111111111111,59.42844330737869,26.33898119890844
GUJARAT,1119,DANG,99.99722222222222,44.77777777777778,45.41537845394908,45.29313281131592
GUJARAT,1120,PATAN,99.99527777777777,35.27777777777778,42.04566976408738,35.83119298721195
GUJARAT,1121,PORBANDAR,100.0,40.5,57.05379864064236,41.01542856630425
GUJARAT,1122,ANAND,99.99916666666667,27.0,47.932212789956075,27.49020133537725
GUJARAT,1123,DOHAD,99.85277777777777,40.0,45.723100235613146,40.36930732019228
GUJARAT,1124,NARMADA,100.0,29.583333333333332,51.83402980500228,30.06318600137345
GUJARAT,1125,NAVSARI  ,100.0,25.13888888888889,71.74319608460058,25.651653631944846
GUJARAT,1126,TAPI,100.0,22.88888888888889,54.097008047998216,23.43958105667298
GUJARAT,1127,Morbi,100.0,42.416666666666664,47.593654835690614,42.82470585474167
GUJARAT,1128,Botad,99.92194444444445,36.861111111111114,47.12971169193461,37.28361421073677
GUJARAT,1129,Chhotaudepur,99.96611111111112,39.888888888888886,39.34600701426312,40.49932018196686
GUJARAT,1130,ARVALLI,99.9325,34.27777777777778,44.15498109710859,34.78200167530269
GUJARAT,1131,GIR SOMNATH,99.98805555555556,36.333333333333336,55.567210126515846,36.87598154523115
GUJARAT,1132,DEVBHUMI DWARKA,99.99777777777778,38.888888888888886,42.44273254086781,39.43297844559377
