pc11_state_id,pc11_district_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households
10,203,35.66057893242658,20.431548125788744,58.27540549486925,3935042,710461
10,204,35.95102395951967,12.985660388310638,54.30746590936176,5099371,981516
10,205,36.19598608405772,14.77692816413357,59.583176105192884,656246,150144
10,206,34.042986517494676,11.937904657530405,51.87482169987195,3423574,736322
10,207,37.77701886781961,13.173569694024062,52.615746710474255,4487379,898515
10,208,35.911111359451965,16.34834343916493,53.24289271742879,2229076,443073
10,209,34.721295084836775,14.991700363747077,59.53762869573958,2811569,568142
10,210,37.056580401491324,10.491126360624705,57.30796845084492,1690400,338445
10,211,33.672917216366216,16.249400006555128,61.12598775092255,3264619,647777
10,212,35.21925419505929,14.427444351714033,59.9044041210182,3071029,619076
10,213,33.21211524172529,17.924558463993222,53.86205854699024,2001762,401289
10,214,33.052163451161995,17.007662071247847,42.87389286756246,1900661,368979
10,215,36.80913756847104,15.70737939012822,41.2285823282245,3937385,803012
10,216,44.95648903814054,15.787215411923444,40.24007364572714,4801062,945703
10,217,45.512791788285355,14.866089620189133,29.901600337087007,2562012,413044
10,218,49.18942788759519,14.222792980197354,24.28977026816474,3330464,535661
10,219,45.18758284556938,12.926868397732513,31.57501099868016,3951862,631097
10,220,46.90521458527973,21.181703915369894,39.89268246355478,3495021,626087
10,221,41.80549655609991,18.890051215914525,46.348876445974525,4261566,835493
10,222,44.91941939480255,14.605656006767791,38.12669923337012,2970541,589667
10,223,39.18720469927212,14.86820334443987,47.59878935494298,1666886,328823
10,224,44.68009701125727,12.698443527249959,34.924521978772916,3037766,564711
10,225,38.68862149824881,16.62552346391201,49.06374549916198,2034763,381601
10,226,51.36428253831076,15.006232795838468,32.640251583105545,1367765,263171
10,227,42.58366047365282,16.139480793516313,39.83186866535227,1000912,163355
10,228,43.132886930485746,20.701446706330874,44.22169970676072,636342,100701
10,229,43.486748085786324,21.16704133542161,46.27322528271176,2877653,477529
10,230,51.87160795854132,15.928621649697309,29.1474235141661,5838465,975578
10,231,48.201231561439016,16.10386573557391,35.99819534422247,2728407,416090
10,232,48.420711776386135,16.324943505208772,34.787108084992404,1706352,261660
10,233,47.51904724023516,26.25880480870446,40.852848801669445,1626384,250884
10,234,52.10841502091258,19.635543957636663,31.8056039480937,2959918,460345
10,235,48.90080064582209,24.136983464648456,42.13031402122901,2540073,391898
10,236,43.711750277195776,30.455971169221424,40.90552967706893,4391418,688425
10,237,40.162571965177506,25.557444169964484,41.62777846606451,2219146,338247
